model,imgsz,fps_level,stride,precision,buf_mode,track_buffer,seq,mota,idf1,num_switches,idsw_per_gt_track,mostly_tracked_ratio,mostly_lost,n_gt_tracks,n_strided_frames
yolo26n,576,2,15,int8,scaled,5,MOT17-04,0.06606266515666293,0.10839160839160839,10,0.12658227848101267,0.0,69,79,70
yolo26n,576,2,15,int8,fixed,30,MOT17-09,0.2612244897959184,0.3211267605633803,38,1.52,0.2,10,25,35
yolo26n,576,2,15,int8,fixed,30,MOT17-02,0.1485623003194888,0.176,23,0.46,0.06,41,50,40
yolo26n,576,2,15,int8,fixed,30,MOT17-04,0.06870517176292945,0.11912225705329153,12,0.1518987341772152,0.0,69,79,70
yolo26n,576,2,15,trt,scaled,5,MOT17-09,0.30204081632653057,0.3506849315068493,36,1.44,0.2,10,25,35
yolo26n,576,2,15,trt,scaled,5,MOT17-02,0.1309904153354633,0.18974358974358974,24,0.48,0.04,40,50,40
yolo26n,576,2,15,trt,scaled,5,MOT17-04,0.10645526613816536,0.16633266533066132,17,0.21518987341772153,0.0,66,79,70
yolo26n,576,2,15,trt,fixed,30,MOT17-09,0.28163265306122454,0.3253333333333333,49,1.96,0.28,9,25,35
yolo26n,576,2,15,trt,fixed,30,MOT17-02,0.12460063897763574,0.17743979721166034,37,0.74,0.08,40,50,40
yolo26n,576,2,15,trt,fixed,30,MOT17-04,0.10872027180067945,0.18151484818151484,14,0.17721518987341772,0.0,66,79,70
yolo26n,576,1,30,fp32,scaled,5,MOT17-09,0.12698412698412698,0.2131979695431472,25,1.1363636363636365,0.18181818181818182,4,22,18
yolo26n,576,1,30,fp32,scaled,5,MOT17-02,0.11821086261980829,0.1784776902887139,25,0.5,0.06,37,50,20
yolo26n,576,1,30,fp32,scaled,5,MOT17-04,0.08774583963691374,0.1451831750339213,20,0.2564102564102564,0.01282051282051282,66,78,35
yolo26n,576,1,30,fp32,fixed,30,MOT17-09,0.12698412698412698,0.22448979591836735,24,1.0909090909090908,0.18181818181818182,4,22,18
yolo26n,576,1,30,fp32,fixed,30,MOT17-02,0.11501597444089462,0.17232375979112272,26,0.52,0.06,37,50,20
yolo26n,576,1,30,fp32,fixed,30,MOT17-04,0.09001512859304084,0.14884979702300405,21,0.2692307692307692,0.01282051282051282,66,78,35
yolo26n,576,1,30,int8,scaled,5,MOT17-09,0.18253968253968256,0.23668639053254437,14,0.6363636363636364,0.13636363636363635,8,22,18
yolo26n,576,1,30,int8,scaled,5,MOT17-02,0.09265175718849838,0.13370473537604458,15,0.3,0.02,42,50,20
yolo26n,576,1,30,int8,scaled,5,MOT17-04,0.03479576399394857,0.06502890173410404,4,0.05128205128205128,0.0,74,78,35
