model,imgsz,fps_level,stride,mt_fp32,mt_int8,idsw_fp32,idsw_int8,mt_fp32_ref,mt_int8_ref,idsw_fp32_ref,idsw_int8_ref,effect_b_mt,effect_b_idsw,effect_c_mt,effect_c_idsw,effect_d_mt,effect_d_idsw
yolo26n,576,3,10,0.0967741935483871,0.05806451612903226,0.5096774193548387,0.27741935483870966,0.20253164556962025,0.08227848101265822,0.6518987341772152,0.6139240506329114,0.10575745202123316,-0.14222131482237654,0.12025316455696203,-0.03797468354430378,0.02421396488362596,-0.3365046957942018
yolo26n,576,2,15,0.06493506493506493,0.045454545454545456,0.6493506493506493,0.34415584415584416,0.20253164556962025,0.08227848101265822,0.6518987341772152,0.6139240506329114,0.13759658063455532,-0.0025480848265658773,0.12025316455696203,-0.03797468354430378,0.036823935558112766,-0.2697682064770673
yolo26n,576,1,30,0.05333333333333334,0.02666666666666667,0.4666666666666667,0.22,0.20253164556962025,0.08227848101265822,0.6518987341772152,0.6139240506329114,0.1491983122362869,-0.18523206751054855,0.12025316455696203,-0.03797468354430378,0.05561181434599155,-0.39392405063291147
yolo26s,640,30,1,0.2721518987341772,0.2088607594936709,0.4873417721518987,0.4177215189873418,0.2721518987341772,0.2088607594936709,0.4873417721518987,0.4177215189873418,0.0,0.0,0.06329113924050633,-0.06962025316455694,0.0,0.0
yolo26s,640,15,2,0.2611464968152866,0.21019108280254778,0.4394904458598726,0.3821656050955414,0.2721518987341772,0.2088607594936709,0.4873417721518987,0.4177215189873418,0.0110054019188906,-0.0478513262920261,0.06329113924050633,-0.06962025316455694,-0.0013303233088768907,-0.03555591389180035
yolo26s,640,10,3,0.267515923566879,0.17197452229299362,0.5668789808917197,0.4267515923566879,0.2721518987341772,0.2088607594936709,0.4873417721518987,0.4177215189873418,0.004635975167298245,0.07953720873982101,0.06329113924050633,-0.06962025316455694,0.03688623720067727,0.009030073369346137
yolo26s,640,7,4,0.267515923566879,0.18471337579617833,0.49044585987261147,0.4267515923566879,0.2721518987341772,0.2088607594936709,0.4873417721518987,0.4177215189873418,0.004635975167298245,0.003104087720712745,0.06329113924050633,-0.06962025316455694,0.024147383697492558,0.009030073369346137
yolo26s,640,5,6,0.21019108280254778,0.14012738853503184,0.6305732484076433,0.6050955414012738,0.2721518987341772,0.2088607594936709,0.4873417721518987,0.4177215189873418,0.06196081593162944,0.14323147625574456,0.06329113924050633,-0.06962025316455694,0.06873337095863905,0.18737402241393197
yolo26s,640,3,10,0.16129032258064516,0.0967741935483871,0.7290322580645161,0.5870967741935483,0.2721518987341772,0.2088607594936709,0.4873417721518987,0.4177215189873418,0.11086157615353207,0.24169048591261738,0.06329113924050633,-0.06962025316455694,0.1120865659452838,0.16937525520620655
yolo26s,640,2,15,0.11688311688311688,0.07142857142857142,0.8831168831168831,0.5454545454545454,0.2721518987341772,0.2088607594936709,0.4873417721518987,0.4177215189873418,0.15526878185106036,0.39577511096498436,0.06329113924050633,-0.06962025316455694,0.13743218806509946,0.12773302646720364
yolo26s,640,1,30,0.06666666666666667,0.06666666666666667,0.5866666666666667,0.4066666666666667,0.2721518987341772,0.2088607594936709,0.4873417721518987,0.4177215189873418,0.20548523206751057,0.09932489451476795,0.06329113924050633,-0.06962025316455694,0.14219409282700424,-0.011054852320675101
yolo26s,576,30,1,0.26582278481012656,0.18354430379746836,0.6265822784810127,0.33544303797468356,0.26582278481012656,0.18354430379746836,0.6265822784810127,0.33544303797468356,0.0,0.0,0.0822784810126582,-0.2911392405063291,0.0,0.0
yolo26s,576,15,2,0.2611464968152866,0.19745222929936307,0.4713375796178344,0.3248407643312102,0.26582278481012656,0.18354430379746836,0.6265822784810127,0.33544303797468356,0.004676287994839934,-0.15524469886317827,0.0822784810126582,-0.2911392405063291,-0.013907925501894708,-0.010602273643473381
yolo26s,576,10,3,0.25477707006369427,0.1592356687898089,0.5668789808917197,0.3821656050955414,0.26582278481012656,0.18354430379746836,0.6265822784810127,0.33544303797468356,0.011045714746432289,-0.059703297589292936,0.0822784810126582,-0.2911392405063291,0.02430863500765945,0.04672256712085787
yolo26s,576,7,4,0.2356687898089172,0.15286624203821655,0.5477707006369427,0.4140127388535032,0.26582278481012656,0.18354430379746836,0.6265822784810127,0.33544303797468356,0.030153995001209355,-0.07881157784407,0.0822784810126582,-0.2911392405063291,0.030678061759251807,0.07856970087881965
yolo26s,576,5,6,0.1910828025477707,0.12101910828025478,0.7643312101910829,0.5414012738853503,0.26582278481012656,0.18354430379746836,0.6265822784810127,0.33544303797468356,0.07473998226235584,0.1377489317100702,0.0822784810126582,-0.2911392405063291,0.06252519551721358,0.20595823591066675
yolo26s,576,3,10,0.14838709677419354,0.11612903225806452,0.7419354838709677,0.5483870967741935,0.26582278481012656,0.18354430379746836,0.6265822784810127,0.33544303797468356,0.11743568803593302,0.11535320538995508,0.0822784810126582,-0.2911392405063291,0.06741527153940384,0.21294405879950995
